# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# SQ       = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur); 
# SP       = Percentage van de langst mogelijke zonneschijnduur; 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   TG,   SQ,   SP,   DR,   RH
# 
  260,20200101,    8,    0,    0,    0,    0
  260,20200102,   39,    0,    0,    0,    0
  260,20200103,   76,    0,    0,   58,   45
  260,20200104,   67,    0,    0,   23,   11
  260,20200105,   69,    0,    0,    1,    1
  260,20200106,   60,   35,   44,    5,    3
  260,20200107,   66,    3,    4,    0,   -1
  260,20200108,  104,    0,    0,   60,   35
  260,20200109,  115,    0,    0,   92,   60
  260,20200110,   68,   13,   16,   10,    6
  260,20200111,   60,   18,   22,    0,    0
  260,20200112,   75,    0,    0,   31,   18
  260,20200113,   78,   33,   40,    0,   -1
  260,20200114,  106,    0,    0,  102,  100
  260,20200115,   94,    0,    0,   49,   35
  260,20200116,   72,   71,   86,    0,    0
  260,20200117,   83,    8,   10,    6,    7
  260,20200118,   45,   40,   48,   13,   23
  260,20200119,   35,   51,   61,    0,   -1
  260,20200120,   29,    3,    4,    0,    0
  260,20200121,    7,    0,    0,    0,    0
  260,20200122,   44,    0,    0,   30,    4
  260,20200123,   37,   16,   19,   18,    4
  260,20200124,   23,    2,    2,    0,    0
  260,20200125,   20,    0,    0,    0,    0
  260,20200126,   55,   45,   51,   13,    8
  260,20200127,   82,    7,    8,   52,   84
  260,20200128,   54,   28,   32,   44,   52
  260,20200129,   60,   21,   24,   10,    7
  260,20200130,   85,    7,    8,   43,    9
  260,20200131,  109,    0,    0,    5,    1
